GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.localized.customerstate,LocalizedCustomerState,130,0,22,0,5,0,22,0,11,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.localized.customerstate,QLocalizedCustomerState,25,39,1,1,6,8,4,3,3,3
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.localized.customerstate,QLocalizedCustomerStateId,18,39,0,0,2,7,1,3,1,3
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.pageparameter.sort,SortDirection,0,37,0,0,0,4,0,3,0,3
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.pageparameter.sort,SortBy.Customer,3,111,0,0,1,10,1,2,1,2
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.pageparameter.sort,SortBy.Product,3,100,0,0,1,9,1,2,1,2
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.pageparameter.sort,SortBy.Audit,3,67,0,0,1,6,1,2,1,2
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms,Application,6,3,0,0,2,1,1,1,1,1
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.config,Log4jConfig,0,32,0,0,0,8,0,3,0,3
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.config,JasyptConfig,0,56,0,0,0,16,0,3,0,3
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.config,SecurityConfig,26,0,0,0,7,0,2,0,2,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.config,JacksonConfig,0,31,0,0,0,7,0,3,0,3
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.config,CacheConfig,0,3,0,0,0,1,0,1,0,1
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.config,DevCorsConfiguration,49,0,0,0,4,0,2,0,2,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.localized.rejectionreason,QLocalizedRejectionReason,25,39,1,1,6,8,4,3,3,3
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.localized.rejectionreason,LocalizedRejectionReason,130,0,22,0,5,0,22,0,11,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.localized.rejectionreason,QLocalizedRejectionReasonId,18,39,0,0,2,7,1,3,1,3
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.localized.rejectionreason,LocalizedRejectionReasonId,18,0,0,0,4,0,4,0,4,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.localized.booleanvalue,LocalizedBooleanValueId,18,0,0,0,4,0,4,0,4,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.localized.booleanvalue,LocalizedBooleanValue,130,0,22,0,5,0,22,0,11,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.localized.booleanvalue,QLocalizedBooleanValue,25,39,1,1,6,8,4,3,3,3
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.localized.booleanvalue,QLocalizedBooleanValueId,18,39,0,0,2,7,1,3,1,3
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.util,MultiReadHttpServletRequest.CachedServletInputStream,23,0,0,0,7,0,5,0,5,0
